	Ppz	Ptt	Pgt	Pca
A01A	16	22	12	12
A02A	1	0	0	0
A11A	5	3	0	0
A11B	0	1	0	0
A22B	0	3	1	1
A28A	2	1	1	1
C01B	1	1	1	1
C02A	1	1	1	5
C115	1	2	1	1
C12	3	2	2	2
C13	0	0	1	1
C14B	1	1	1	1
C15	1	1	1	0
C19	22	20	17	15
C26	24	16	11	9
C44	9	5	4	4
C48	5	3	3	3
C50	1	1	5	1
C54	1	1	1	0
C56	1	1	1	1
C78B	1	2	1	3
C83	1	2	2	1
C85	1	1	1	1
C85A	4	6	3	8
C85B	1	1	1	0
C86	1	1	1	1
C97	8	2	2	2
I09	0	1	0	0
I32	1	1	1	0
I51	2	5	4	3
M01	5	3	3	3
M03A	3	3	2	2
M12B	3	5	1	3
M16A	2	1	2	1
M16B	5	3	1	3
M16C	1	1	2	2
M17	2	1	1	1
M18	1	1	1	1
M20D	1	1	1	1
M20F	1	1	1	1
M24A	2	2	2	3
M24B	6	3	3	3
M24X	2	5	5	3
N28A	0	1	0	0
M28E	3	2	2	1
M28X	3	2	2	2
M36	0	1	1	1
M38	6	6	4	4
M41	2	2	2	2
M48A	2	2	2	2
M48C	2	3	2	2
M49	2	0	1	1
M50B	1	1	0	0
M67A	10	5	4	4
M67C	2	1	1	1
M67X	2	2	2	2
M76	1	1	1	1
M79	1	1	1	1
M80	2	2	1	1
S08A	12	10	9	10
S08B	1	1	1	1
S09A	9	8	1	1
S09B	1	2	1	1
S09C	3	5	5	3
S09X	17	14	10	12
S10	15	18	11	12
S14	1	1	2	1
S16	3	2	2	3
S26A	2	2	1	1
S26B	2	1	1	1
S33	15	19	16	13
S49A	1	1	1	1
S53	5	5	3	3
S54	2	2	2	1
S59	3	2	1	1
T01A	15	21	13	15
T01X	1	1	1	1
T03	2	2	2	2
T05	1	1	1	1
