	Ppz	Ptt	Pgt	Pca
AA1	8	17	3	2
AA2	3	3	2	2
AA3	11	9	6	6
AA5	9	7	4	4
AA6	2	1	1	1
AA7	4	7	2	4
AA8	0	0	0	1
AA9	4	5	4	4
AA16	1	0	0	0
CBM21	1	1	1	1
CE1	4	1	1	0
CE10	7	3	3	3
CE16	8	5	2	4
CE4	12	15	7	4
CE5	3	5	6	4
CE8	2	5	3	3
GH10	0	4	2	3
GH105	2	3	2	1
GH12	1	1	1	1
GH125	1	2	1	0
GH13	3	3	3	4
GH131	3	4	3	1
GH133	2	1	1	0
GH15	3	3	3	3
GH152	4	3	2	5
GH16	6	4	3	4
GH17	1	1	1	1
GH18	11	20	14	15
GH2	3	4	4	3
GH20	3	2	2	1
GH26	2	3	1	2
GH28	3	1	1	1
GH3	5	3	2	2
GH31	1	7	2	2
GH32	1	2	2	2
GH35	1	1	2	1
GH37	2	2	1	2
GH38	1	1	2	1
GH43	2	1	2	3
GH47	10	10	8	4
GH5	29	27	22	17
GH65	1	1	1	1
GH7	4	6	6	2
GH71	3	4	4	2
GH72	1	1	0	0
GH76	5	4	5	5
GH79	3	0	1	1
GH81	1	2	1	0
GH85	1	1	2	1
GT1	3	6	4	0
GT10	0	1	0	0
GT15	0	1	1	3
GT2	13	16	11	9
GT20	2	2	1	2
GT21	3	1	2	1
GT22	4	5	4	3
GT24	1	1	1	1
GT25	3	3	3	3
GT3	1	1	1	1
GT32	2	2	2	2
GT33	2	2	1	1
GT39	6	3	3	3
GT4	5	3	3	3
GT43	6	2	1	3
GT48	1	2	1	1
GT49	2	1	1	1
GT5;GH13	3	2	0	2
GT50	2	2	1	1
GT57	4	3	2	2
GT58	2	1	1	0
GT59	1	1	0	0
GT66	2	1	1	1
GT69	2	7	3	3
GT71	3	1	1	0
GT76	1	1	1	1
GT8	1	1	1	1
GT90	12	6	3	5
PL1	3	13	0	3
PL14	0	0	1	0
PL35	1	1	1	1
