Num	PpzA	Pt76	Pgt210	Pca203
11-20	18	7	12	13
11-20	16	2	8	10
11-20	19	3	3	8
11-20	11	2	6	3
11-20	9	3	7	1
11-20	8	2	5	2
11-20	9	3	2	2
11-20	9	2	2	0
11-20	6	0	0	0
11-20	7	0	0	0
20-30	4	0	3	1
20-30	7	0	1	1
20-30	2	0	1	2
20-30	1	0	1	2
20-30	10	2	1	0
20-30	2	1	1	0
20-30	4	2	1	0
20-30	2	1	0	0
20-30	0	0	0	0
20-30	0	0	0	0
31-40	4	0	1	1
31-40	1	0	1	0
31-40	2	0	0	0
31-40	1	0	0	0
31-40	1	0	0	0
31-40	3	0	0	0
31-40	1	0	0	0
31-40	2	0	0	0
31-40	0	0	0	0
31-40	0	0	0	0
>40	2	0	0	0
>40	2	0	0	0
>40	3	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	2	0	0	0
>40	2	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	1	0	0	0
>40	1	0	0	0
