chr	start	end	name	gieStain
chr14A	1	2434443	A1	acen
chr14A	2434443	2435977	A2	stalk
chr14A	2435977	3117228	A3	acen
chr14A	3117228	3120784	A4	stalk
chr14A	3120784	6957665	A5	acen
chr14A	6957665	6957889	A6	stalk
chr14A	6957889	9314643	A7	acen
chr14A	9314643	9314957	A8	acen
chr14A	9314957	10256444	A9	acen
chr14A	10256444	10259009	A10	stalk
chr14A	10259009	11076193	A11	acen
chr14A	11076193	11078419	A12	stalk
chr14A	11078419	16877819	A13	acen
chr14A	16877819	16880671	A14	stalk
chr14A	16880671	18406449	A15	acen
chr14A	18406449	18407222	A16	stalk
chr14A	18407222	21217106	A17	acen
chr14A	21217106	21218455	A18	stalk
chr14A	21218455	22993247	A19	acen
chr14A	22993248	22993922	A20	stalk
chr14A	22993922	26804518	A21	acen
chr14A	26804519	26806797	A22	stalk
chr14A	26806797	28047235	A23	acen
chr14A	28047236	28048095	A24	stalk
chr14A	28048095	29956554	A25	acen
chr14A	29956554	29957428	A26	stalk
chr14A	29957428	31573787	A27	acen
chr14A	31573787	31577670	A28	stalk
chr14A	31577670	32732436	A29	acen
chr14A	32732436	32733407	A30	stalk
chr14A	32733407	34278376	A31	acen
chr14B	1	3210826	B1	stalk
chr14B	3210826	3214382	B2	stalk
chr14B	3214382	7224413	B3	stalk
chr14B	7224413	7224638	B4	stalk
chr14B	7224638	9643506	B5	stalk
chr14B	9643506	9643820	B6	acen
chr14B	9643820	10590417	B7	stalk
chr14B	10590417	10592981	B8	stalk
chr14B	10592981	11427839	B9	stalk
chr14B	11427839	11430064	B10	stalk
chr14B	11430064	15279521	B13	stalk
chr14B	15279521	15280295	B14	stalk
chr14B	15280295	15938828	B15	stalk
chr14B	15938828	15943190	B16	stalk
chr14B	15943190	17285553	B17	stalk
chr14B	17285553	17288408	B18	stalk
chr14B	17288408	18847710	B19	stalk
chr14B	18847710	18848509	B20	stalk
chr14B	18848509	19304028	B21	stalk
chr14B	19304028	19304673	B22	stalk
chr14B	19304673	21576558	B23	stalk
chr14B	21576558	21577907	B24	stalk
chr14B	21577907	23300448	B25	stalk
chr14B	23300448	23301709	B26	stalk
chr14B	23301709	27072696	B27	stalk
chr14B	27072696	27074977	B28	stalk
chr14B	27074977	28293244	B31	stalk
chr14B	28293244	28294085	B32	stalk
chr14B	28294085	31962078	B33	stalk
chr14B	31962078	31964865	B34	stalk
chr14B	31964865	33194717	B35	stalk
chr14B	33194717	33195209	B36	stalk
chr14B	33195209	33243719	B37	stalk
chr14B	33243719	33244450	B38	stalk
chr14B	33244450	33258249	B39	stalk
chr14B	33258249	33258741	B40	stalk
chr14B	33258741	34814183	B41	stalk
